unit,type,from,to,desc,loc
Unit: 03,C,1,4,"CLAY, low strength to high strength",LOC: 57
Unit: 04,S,4,10.3,"SAND, dense to very dense",LOC: 57
Unit: 06,C_S,10.3,13.9,"CLAY, very high strength ",LOC: 57
Unit: 06,C_S,13.9,16.3,,LOC: 57
Unit: 06,C_S,16.3,25,,LOC: 57
Unit: 08,C_S,25,29,"CLAY and SILT, sandy, extremely high to ultra high strength",LOC: 57
Unit: 09,S,29,32.7,"SAND, dense to very dense",LOC: 57
Unit: 10,C,32.7,37,"CLAY, very high to extremely high strength",LOC: 57
Unit: 10,C,37,46.5,,LOC: 57
Unit: 10,C,46.5,52,,LOC: 57
Unit: 10,C,52,55.17,,LOC: 57
Unit: 01,S,0,0.4,"SAND, loose to very dense",LOC: 01
Unit: 02,S,0.4,0.8,"SAND, very dense",LOC: 01
Unit: 04,S,0.8,2,"SAND, very dense",LOC: 01
Unit: 04,S,2,7,,LOC: 01
Unit: 04,S,7,10.7,"SAND, dense to very dense",LOC: 01
Unit: 06,C_S,10.7,14,"CLAY, extremely high strength, with layers of sand",LOC: 01
Unit: 06,C_S,14,25.6,"CLAY, extremely high strength, with layers of sand",LOC: 01
Unit: 08,C_S,25.6,35,"CLAY and SILT, sandy, extremely high to ultra high strength",LOC: 01
Unit: 08,C_S,35,38,,LOC: 01
Unit: 08,C_S,38,47,,LOC: 01
Unit: 08,C_S,47,55.01,,LOC: 01
Unit: 01,S,0,0.3,"SAND, loose to very dense",LOC: 10
Unit: 02,S,0.3,0.8,"SAND, dense to very dense",LOC: 10
Unit: 04,S,0.8,1.5,"SAND, dense to very dense",LOC: 10
Unit: 04,S,1.5,3,,LOC: 10
Unit: 04,S,3,5,,LOC: 10
Unit: 05,Si,5,20,"SILT, very high to extremely high strength",LOC: 10
Unit: 05,Si,20,26.1,,LOC: 10
Unit: 09,S,26.1,27.34,"SAND, dense to very dense",LOC: 10
Unit: 08,C_S,27.34,31,"CLAY and SILT, sandy, extremely high strength to ultra high strength",LOC: 10
Unit: 08,C_S,31,34,,LOC: 10
Unit: 08,C_S,34,40,,LOC: 10
Unit: 08,C_S,40,43,,LOC: 10
Unit: 08,C_S,43,50.88,,LOC: 10
Unit: 01,S,0,0.1,"SAND, loose to very dense",LOC: 18
Unit: 03,C_S,0.2,1.1,"CLAY, low strength to high strength",LOC: 18
Unit: 04,S,1.1,4.2,"SAND, dense to very dense",LOC: 18
Unit: 06,C_S,4.2,13,"CLAY, very high strength, with layers of sand",LOC: 18
Unit: 06,C_S,13,21.5,"CLAY, very high to extremely high strength, with layers of sand",LOC: 18
Unit: 06,C_S,21.5,26,,LOC: 18
Unit: 04,S,26,29,"SAND, dense to very dense",LOC: 18
Unit: 08,C_S,29,32.5,"CLAY and SILT, sandy, extremely high to ultra high strength",LOC: 18
Unit: 08,C_S,32.5,42.3,,LOC: 18
Unit: 01,S,0,0.1,"SAND, loose ",LOC: 20
Unit: 03,C,0.1,5.1,"CLAY, low strength to medium strength",LOC: 20
Unit: 04,S,5.1,6.5,"SAND, very dense",LOC: 20
Unit: 04,S,6.5,8.9,,LOC: 20
Unit: 04,S,8.9,12.3,"SAND, very dense",LOC: 20
Unit: 04,S,12.3,15,,LOC: 20
Unit: 04,S,15,27.25,,LOC: 20
Unit: 06,C_S,27.25,32,"CLAY, extremely high strength ",LOC: 20
Unit: 06,C_S,32,35.1,,LOC: 20
Unit: 04,S,35.1,40,"SAND, dense to very dense",LOC: 20
Unit: 06,C_S,40,42.15,"CLAY, very high strength",LOC: 20
Unit: 04,S,42.15,42.31,"SAND, medium dense",LOC: 20
Unit: 01,S,0,0.2,"SAND, loose to very dense",LOC: 23
Unit: 03,C_S,0.2,1,"CLAY, medium strength to high strength",LOC: 23
Unit: 03,C,1,2.6,"CLAY, medium strength to high strength",LOC: 23
Unit: 04,S,2.6,7,"SAND, dense to very dense",LOC: 23
Unit: 04,S,7,13.8,,LOC: 23
Unit: 04,S,13.8,15,,LOC: 23
Unit: 04,S,15,30.5,,LOC: 23
Unit: 04,S,30.5,31.5,,LOC: 23
Unit: 04,S,31.5,38.7,,LOC: 23
Unit: 06,C_S,38.7,40.24,"CLAY, very high strength ",LOC: 23
Unit: 01,S,0,0.4,"SAND,  loose ",LOC: 32
Unit: 02,S,0.4,0.9,"SAND, medium dense to very dense",LOC: 32
Unit: 04,S,0.9,10,"SAND, very dense",LOC: 32
Unit: 04,S,10,14,,LOC: 32
Unit: 04,S,14,17,"SAND, dense  to very dense",LOC: 32
Unit: 04,S,17,21.8,,LOC: 32
Unit: 06,C_S,21.8,25.3,"CLAY, very high strength ",LOC: 32
Unit: 08,C_S,25.3,40.37,"CLAY and SILT, sandy, extremely high to ultra high strength",LOC: 32
Unit: 01,S,0,0.35,"SAND, loose to very dense",LOC: 49
Unit: 02,S,0.35,2.2,"SAND, dense to very dense",LOC: 49
Unit: 06,C_S,2.2,10.9,"CLAY, medium strength to high strength",LOC: 49
Unit: 04,S,10.9,12,"SAND, dense ",LOC: 49
Unit: 04,S,12,15,,LOC: 49
Unit: 06,C_S,15,18.6,"CLAY, very high strength ",LOC: 49
Unit: 09,S,18.6,20.5,"SAND, very dense",LOC: 49
Unit: 09,S,20.5,24,,LOC: 49
Unit: 08,C_S,24,35,"CLAY and SILT, sandy, extremely high to ultra high strength",LOC: 49
Unit: 08,C_S,35,45,,LOC: 49
Unit: 08,C_S,45,54.97,,LOC: 49
Unit: 01,S,0,0.6,"SAND, loose ",LOC: 53
Unit: 02,S,0.6,2,"SAND, medium dense to very dense",LOC: 53
Unit: 02,S,2,3.2,,LOC: 53
Unit: 03,C,3.2,4.7,"CLAY, low to medium strength",LOC: 53
Unit: 06,C_S,4.7,14.4,"CLAY, high to very high strength, with layers of sand",LOC: 53
Unit: 09,S,14.4,16.5,"SAND, dense to very dense",LOC: 53
Unit: 08,C_S,16.5,18,"CLAY and SILT, sandy, extremely high strength to ultra high strength",LOC: 53
Unit: 08,C_S,18,19.7,,LOC: 53
Unit: 10,C,19.7,30,"CLAY, very high to extremely high strength",LOC: 53
Unit: 10,C,30,33,,LOC: 53
Unit: 10,C,33,40.2,,LOC: 53
Unit: 01,S,0,0.5,"CLAY, low strength to medium strength",LOC: 06
Unit: 02,S,0.5,1,"SAND, fine to coarse, dense to very dense,  grey",LOC: 06
Unit: 04,S,1,9.5,"SAND, fine to coarse, dense to very dense,  grey",LOC: 06
Unit: 04,S,9.5,10.5,,LOC: 06
Unit: 06,C_S,10.5,16.5,"CLAY, silty, very high to extremely high strength, slickenslided, with very closely spaced thin laminae of silty sand, dark grey",LOC: 06
Unit: 06,C_S,16.5,25,,LOC: 06
Unit: 06,C_S,25,27.2,"CLAY, silty, very high to extremely high strength, slickenslided,  closely spaced thin sand laminae",LOC: 06
Unit: 08,C_S,27.2,32.5,"CLAY, silty, sandy, extremely high to ultra high strength, brown",LOC: 06
Unit: 08,C_S,32.5,34,,LOC: 06
Unit: 08,C_S,34,40.72,,LOC: 06
Unit: 01,S,0,0.5,"SAND, very loose, light brown",LOC: 09
Unit: 02,S,0.5,1,"SAND, some gravel, fine to medium, dense to very dense, light brown to light grey. Gravel is angular to well rounded, medium of mixed lithologies ",LOC: 09
Unit: 04,S,1,10.5,"SAND, some gravel, fine to medium, dense to very dense, light brown to light grey. Gravel is angular to well rounded, medium of mixed lithologies ",LOC: 09
Unit: 04,S,10.5,11.5,,LOC: 09
Unit: 05,Si,11.5,12.5,"SILT, sandy, extremely high strength, very dark grey",LOC: 09
Unit: 06,C_S,12.5,17.9,"CLAY, very high to extremely high strength, very dark grey",LOC: 09
Unit: 04,S,17.9,19.7,"SAND, silty, fine, medium dense to dense, light grey",LOC: 09
Unit: 08,C_S,19.7,26.7,"CLAY and SILT, sandy, extremely high strength to ultra high strength, very dark grey",LOC: 09
Unit: 10,C,26.7,29,"CLAY, very high to extremely high strength, greenish grey to very dark grey",LOC: 09
Unit: 10,C,29,41.19,,LOC: 09
Unit: 01,S,0,0.6,"SAND,fine , dense to very dense, light grey",LOC: 35
Unit: 02,S,0.6,1.8,"SAND, fine, medium dense to very dense, light grey ",LOC: 35
Unit: 03,C,1.8,2.5,"CLAY, high to extremely high strength, dark grey",LOC: 35
Unit: 04,S,2.5,5,"SAND, fine, dense to very dense, light grey to grey",LOC: 35
Unit: 04,S,5,10,,LOC: 35
Unit: 04,S,10,14,,LOC: 35
Unit: 04,S,14,15.7,"SAND, fine, dense to very dense, very dark grey",LOC: 35
Unit: 06,C_S,15.7,20.5,"CLAY, silty, sandy, very high to extremely high strength, very dark grey",LOC: 35
Unit: 06,C_S,20.5,22.5,"CLAY, silty, extremely high strength, with traces of gravel, very dark grey to dark reddish brown",LOC: 35
Unit: 08,C_S,22.5,38.2,"CLAY and SILT, sandy, extremely high strength to ultra high strength, with traces of gravel, very dark grey",LOC: 35
Unit: 09,S,38.2,40.1,"SAND, fine to medium, very dense, very dark grey",LOC: 35
Unit: 01,S,0,0.4,"SAND, some gravel, medium to coarse, very loose",LOC: 39
Unit: 02,S,0.5,4.9,"SAND, fine, dense to very dense, dark brownish grey to dark greenish grey intermixed with sandy GRAVEL, fine to coarse, grey",LOC: 39
Unit: 03,C,4.9,9.2,"CLAY, some gravel, high strength, with fine gravel sized pockets of fine sand, dark grey",LOC: 39
Unit: 04,S,9.2,10.6,"SAND, fine to medium, medium dense to very dense, dark grey",LOC: 39
Unit: 04,S,10.6,14.2,,LOC: 39
Unit: 05,Si,14.2,19,"SILT, clayey, slightly sandy, very high to extremely high strength, very dark grey",LOC: 39
Unit: 05,Si,19,23.5,,LOC: 39
Unit: 04,S,23.5,24.5,"SAND, silty, fine to medium, very dense, dark grey",LOC: 39
Unit: 04,S,24.5,27,,LOC: 39
Unit: 08,C_S,27,40.1,"CLAY and SILT, sandy, slightly gravelly, extremely high strength to ultra high strength, very dark grey",LOC: 39
Unit: 01,S,0,0.25,"SAND, loose to very dense",LOC: 45
Unit: 03,C,0.25,4,"CLAY, some gravel, firm to stiff, medium to high strength, brownish very dark grey",LOC: 45
Unit: 06,C_S,4,6,"CLAY, sandy, with thin layers of sand, silty, very high strength, with few sub-angular to rounded fine to medium gravels of mixed lithologies, dark grey",LOC: 45
Unit: 06,C_S,6,25,,LOC: 45
Unit: 06,C_S,25,30,,LOC: 45
Unit: 06,C_S,30,34.5,,LOC: 45
Unit: 08,C_S,34.5,44,"CLAY and SILT, sandy, extremely high strength to ultra high strength, very dark grey",LOC: 45
Unit: 07,C,44,55,"CLAY, extremely high strength, with thin laminae of light grey and ligh brown silt, very dark brown",LOC: 45
Unit: 01,S,0,0.5,"SAND, loose to very dense",LOC: 51
Unit: 02,S,0.5,1.1,"SAND, fine to coarse, medium dense to very dense",LOC: 51
Unit: 04,S,1.1,5,"SAND, fine, dense to very dense, light to dark grey",LOC: 51
Unit: 04,S,5,11,,LOC: 51
Unit: 05,Si,11,15,"SILT, clayey, slightly sandy, very high ro extremely high strength, dark to very dark grey",LOC: 51
Unit: 05,Si,15,20,,LOC: 51
Unit: 04,S,20,24,"SAND, clayey, slightly silty, dense to very dense, very dark grey",LOC: 51
Unit: 06,C_S,24,29.5,"CLAY, silty, very high strength , very dark grey",LOC: 51
Unit: 05,Si,29.5,40.23,"SILT, clayey, slightly sandy, extremely high strength, very dark grey",LOC: 51
Unit: 06,C_S,40.23,45,"CLAY, extremely high strength",LOC: 51
Unit: 06,C_S,45,50,,LOC: 51
Unit: 06,C_S,50,54.3,,LOC: 51
Unit: 09,S,54.3,55,"SAND, very dense",LOC: 51
Unit: 01,S,0,0.2,"SAND, fine to coarse, loose to very dense",LOC: 58
Unit: 02,S,0.2,1,"SAND, silty, dense to very dense",LOC: 58
Unit: 03,C,1,3,"CLAY, medium to very high strength, with few gravels, grey to brownish grey",LOC: 58
Unit: 04,S,3,10.3,"SAND, fine to medium, dense to very dense, very dark grey",LOC: 58
Unit: 06,C_S,10.3,13.9,"CLAY, silty, sandy, very high to extremely high strength, very dark grey",LOC: 58
Unit: 06,C_S,13.9,16.3,,LOC: 58
Unit: 06,C_S,16.3,23.7,,LOC: 58
Unit: 09,S,23.7,25,"SAND, medium to coarse, very dense, light grey",LOC: 58
Unit: 08,C_S,25,32.5,"CLAY and SILT, sandy, extremely high strength to ultra high strength, dark grey",LOC: 58
Unit: 10,C,32.5,55,"CLAY, very high to extremely high strength, ver dark grey to very dark greenish grey",LOC: 58
Unit: 01,S,0,0.3,"SAND, loose to very dense",LOC: 29
Unit: 03,C_S,0.3,1.2,"CLAY, low strength to high strength",LOC: 29
Unit: 03,C,1.2,5.2,"CLAY, low strength to high strength",LOC: 29
Unit: 04,S,5.2,10,"SAND, dense to very dense",LOC: 29
Unit: 04,S,10,12,,LOC: 29
Unit: 04,S,12,15.1,"SAND, dense to very dense",LOC: 29
Unit: 06,C_S,15.1,19.2,"CLAY, very high strength ",LOC: 29
Unit: 09,S,19.2,24,"SAND, very dense",LOC: 29
Unit: 08,C_S,24,38,"CLAY and SILT, extremely high strength to ultra high strength",LOC: 29
Unit: 08,C_S,38,41.2,,LOC: 29
